FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,SECTOR,SECTOR_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A,Annual,AFG,Afghanistan,IMF_COFOG_GE,"Government expenditure, Total",XDC,Domestic currency,IMF_SEC_GG,Sector: General government,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111274567806.612,165029869458.173,466732038816.575,449927622587.957,599141978255.593,804607817755.298,696761850375.107,743010000000.0,701723794130.371,679054073438.093,631092794724.643,618739445215.448,,,,,,
A,Annual,AFG,Afghanistan,IMF_COFOG_GE,"Government expenditure, Total",XDC,Domestic currency,IMF_SEC_LG,Sector: Local government,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2144112917.69,1559307258.13426,1702460575.36,2601383565.19308,2397655991.25849,2263118249.0,2806783488.04,5347611898.0,1285646381.0,3080155696.0,7310404727.0,7934401932.01,,,,,,
A,Annual,AGO,Angola,IMF_COFOG_GE,"Government expenditure, Total",PT_GDP,Percentage of GDP,IMF_SEC_BCG,Sector: Budgetary central government,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.8442731411806,21.6649048653246,28.403704375515,25.253939017387,40.5275622535685,17.9488782178806,23.7382197848031,26.7048350951907,31.4153966923907,35.8069184229398,34.035575158757,34.1483905835531,33.9346703778319,30.2252365113104,39.8248471749907,41.2735224919816,24.9005860637672,21.3386145349908,23.1429882940354,19.3227120859296,18.6557892696943,,,,
A,Annual,AGO,Angola,IMF_COFOG_GE,"Government expenditure, Total",XDC,Domestic currency,IMF_SEC_BCG,Sector: Budgetary central government,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,6477908535.0,24290151513.0,68477845465.0,168036000000.0,538587000000.0,353157000000.0,764929000000.0,1124210000000.0,1572760000000.0,2378780000000.0,1898280000000.0,2629990000000.0,3563460000000.0,3695020000000.0,5254890000000.0,5911961166084.73,3473704179110.37,3531447972958.74,4689296761578.42,5174234382153.12,6098494922532.49,,,,
A,Annual,ALB,Albania,IMF_COFOG_GE,"Government expenditure, Total",PT_GDP,Percentage of GDP,IMF_SEC_BCG,Sector: Budgetary central government,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,25.5280235013159,19.1710514737873,23.3089929977417,29.3311676221459,,,,,,,,,,,,,23.9740947999157,23.1757580394919,23.776361858435,23.9192447888602,23.5323703578533,22.7367188559066,22.5547195997373,21.8333436272348,21.3319868833649,25.0381449950437,24.2057266440656,22.4856586012437,21.671484890602
A,Annual,ALB,Albania,IMF_COFOG_GE,"Government expenditure, Total",PT_GDP,Percentage of GDP,IMF_SEC_CG,Sector: Central government (excl. social security),IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.1176908318895,23.0610810709662,23.330419650201,,,,,,,23.9740947999157,23.1757580394919,23.776361858435,23.9192447888602,23.5323703578533,22.7367188559066,22.5547195997373,21.833339961388,21.3319868833649,25.0381449950437,24.2057266440656,22.4387951286624,21.6213203772414
A,Annual,ALB,Albania,IMF_COFOG_GE,"Government expenditure, Total",PT_GDP,Percentage of GDP,IMF_SEC_CG_SSF,Sector: Central government (incl. social security funds),IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,25.5280235013159,24.8914049973764,29.3855561594364,35.6528369904037,,,,31.4674656070891,27.5364906356345,27.9748093314335,,,,,,,28.12074261439,27.4030176024031,28.0736713451636,28.4167751955356,28.5555637616119,27.8344950125032,27.9371407318712,27.266355864363,27.1166060103288,30.4350317977189,29.825659162069,31.4375840439047,30.3155950531096
A,Annual,ALB,Albania,IMF_COFOG_GE,"Government expenditure, Total",PT_GDP,Percentage of GDP,IMF_SEC_EBG,Sector: Extrabudgetary central government,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
A,Annual,ALB,Albania,IMF_COFOG_GE,"Government expenditure, Total",PT_GDP,Percentage of GDP,IMF_SEC_GG,Sector: General government,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8574912053879,29.6386329578109,29.5791003330105,32.5208109962716,,29.7157753549526,29.1712805989644,28.4601577455512,29.0791588082925,29.2758671631442,29.6367922083823,28.8959253364766,29.2324909753066,28.7396945180212,28.8695086464272,32.4336774830889,31.9966027821625,30.0579629277617,29.0303003104397
A,Annual,ALB,Albania,IMF_COFOG_GE,"Government expenditure, Total",PT_GDP,Percentage of GDP,IMF_SEC_LG,Sector: Local government,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,6.52784183310587,6.14444573256908,6.00597038023294,6.67868214707588,,,,,,,,,,,,,3.97361549605889,3.76054222264185,4.12900493774177,4.25688546593585,4.09032097330437,4.58787351369795,5.21276275219272,5.10742760986648,5.08046546675264,6.07737050874001,6.11674528392736,5.59398857577876,5.32894931481944
